epoch,accuracy,loss,val_accuracy,val_loss
0,0.9775809645652771,0.05505131930112839,0.6657060384750366,1.6514142751693726
1,0.9789648652076721,0.05831202492117882,0.6599423885345459,1.677860140800476
2,0.9781345129013062,0.05219374969601631,0.6743515729904175,1.680631160736084
3,0.9803487658500671,0.0474407784640789,0.6657060384750366,1.7515846490859985
4,0.9803487658500671,0.04615895450115204,0.6772334575653076,1.770282506942749
5,0.9797951579093933,0.048594508320093155,0.6657060384750366,1.7469007968902588
6,0.9792416095733643,0.04798553138971329,0.6599423885345459,1.7343920469284058
7,0.9789648652076721,0.04437655955553055,0.6599423885345459,1.8124359846115112
8,0.9786880612373352,0.04442506656050682,0.6657060384750366,1.8665852546691895
9,0.9814558625221252,0.04433387890458107,0.6628242135047913,1.8226994276046753
10,0.9797951579093933,0.03925928846001625,0.6714697480201721,1.8512284755706787
11,0.9795184135437012,0.04216441884636879,0.6599423885345459,1.849823236465454
12,0.9784113168716431,0.04030853509902954,0.6570605039596558,1.8727132081985474
13,0.9795184135437012,0.03995205834507942,0.6628242135047913,1.912019968032837
14,0.9792416095733643,0.03850984573364258,0.6426513195037842,1.9550762176513672
15,0.9792416095733643,0.03846826031804085,0.651296854019165,1.9547640085220337
16,0.9786880612373352,0.040086615830659866,0.6657060384750366,1.9247410297393799
17,0.9803487658500671,0.037558287382125854,0.6743515729904175,2.0001959800720215
18,0.9811790585517883,0.03613483905792236,0.6628242135047913,2.0012402534484863
19,0.9797951579093933,0.0386173389852047,0.680115282535553,1.98624849319458
20,0.9789648652076721,0.03831002116203308,0.6685879230499268,2.010258913040161
21,0.9817326068878174,0.034802429378032684,0.6599423885345459,2.0324864387512207
22,0.9828397631645203,0.03429868817329407,0.6743515729904175,2.0628223419189453
23,0.9800719618797302,0.033708252012729645,0.6599423885345459,2.111096143722534
24,0.9784113168716431,0.03285296633839607,0.6685879230499268,2.094431161880493
